Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;79;0.78;0.79;5229;17.5;20.3;86.9;7.86;8.36;3.0;8.25;20;65.1;4.4;36.5;27.4;< 20;< 1;-;-;0.17;< 0.01;< 0.09;-;< 1.5;< 7;2.6;< 0.025;17230;2260;2018-02-06;08:35:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;77;0.83;0.84;4964;17.0;20.6;69.6;7.83;8.35;2.4;7.76;20;62.8;5.2;32.4;29.3;< 20;2.9;-;-;0.33;< 0.01;< 0.09;-;< 1.5;< 7;2.5;< 0.025;5380;1100;2018-08-21;08:50:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;78;0.82;0.84;-;17.1;21.1;52.5;7.62;8.21;11.4;7.55;30;80;64.6;23.2;20.6;< 20;< 1;-;-;0.46;< 0.01;0.137;-;< 1.5;11.9;6.6;< 0.025;7701;767;2018-11-20;09:00:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.8;10841;16.4;22.8;55.3;7.65;8.18;3.9;7.54;20;64.4;8.7;23.6;23.0;< 20;< 2;-;-;0.307;< 0.0091;< 0.09;-;< 1.5;< 7;0.92;< 0.025;9208;1607;2019-06-04;09:00:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;77;0.84;0.83;2623;17.2;21.5;84.5;7.91;8.07;0.84;8.04;20;71.3;4.8;38.4;37.8;< 20;< 2;-;-;0.26;< 0.0091;< 0.09;-;< 1.5;< 7;1.2;< 0.025;15531;1076;2019-09-03;09:00:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;Faltan variables;Faltan variables;Faltan variables;-;17.1;20.7;55.4;7.58;8.03;9.8;7.62;40;-;-;23.6;26.4;< 20;< 2;-;-;0.484;< 0.0091;0.093;-;< 1.5;< 7;0.56;< 0.025;12460;1100;2019-11-12;09:30:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;76;0.78;0.79;4116;18.5;22.8;90.6;7.6;7.99;0.74;7.84;10;69;3.1;39.9;33.3;< 20;< 2;-;-;< 0.2;< 0.0091;0.099;-;< 1.5;< 5;4;< 0.025;24890;7030;2020-03-03;09:40:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;79;0.86;0.86;11576;16.0;19.1;69.0;7.29;8.49;5.22;7.28;20;84;10.6;24.6;22.4;< 20;< 2;-;-;< 0.2;< 0.0091;< 0.09;-;< 1.5;< 5;0.5;< 0.025;12033;703;2020-09-01;09:00:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;77;0.89;0.9;9949;16.7;22.4;55.5;7.25;8.24;3.27;7.76;10;68;5;26.6;26.2;< 20;< 2;-;-;0.222;< 0.0091;< 0.09;-;0;< 5;2.59;< 0.025;5172;496;2020-11-03;09:30:00;1495.962843
50;RIO RISARALDA, ANTES DESCARGA MUNICIPIO MISTRATO;77;0.81;0.83;7874;16.3;20.4;65.9;7.82;8.4;1.6;7.89;20;66;3;31.4;30.0;< 20;< 2;-;-;< 0.2;< 0.0091;< 0.09;-;< 5;< 5;2.19;< 0.025;14136;1354;2021-07-06;08:50:00;1495.962843
