rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,km_inicio,km_fin,area_tramo_ha,cobertura_pct,grupo,nombre_grupo,area_ha,pct
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,HN,Herbazales y vegetación natural herbácea,6.92,0.20
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,HU,Humedales y superficies pantanosas,0.63,0.02
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,AGUA,Aguas continentales,109.23,3.20
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,TE,Tierras eriales,3.03,0.09
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,ZU,Zona urbana,3.37,0.10
Rio Amaime,3,Rio Amaime - Antes desembocadura de Rio Nima,Rio Amaime - antes Desembocadura a Rio Cauca,46.062,86.292,3409.45,100.0,INF,Infraestructura,36.36,1.07
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,CANA,Caña de azúcar,295.62,60.25
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,PN,Pastos,12.64,2.58
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,BN,Bosque natural,1.47,0.30
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,RA,Rastrojo y vegetación secundaria,23.79,4.85
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,AGUA,Aguas continentales,19.27,3.93
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,ZU,Zona urbana,132.14,26.93
Rio Bolo,1,Rio Bolo - Limnígrafo CVC - Los Minchos,Rio Bolo - Puente Pradera - Palmira,0.000,10.938,490.65,100.0,INF,Infraestructura,5.71,1.16
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,CANA,Caña de azúcar,1614.77,80.86
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,CP,Cultivos permanentes,6.18,0.31
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,CT,Cultivos transitorios,99.79,5.00
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,PN,Pastos,34.82,1.74
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,MSC,Misceláneos de pastos / cultivos / espacios naturales,22.47,1.12
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,BN,Bosque natural,100.65,5.04
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,RA,Rastrojo y vegetación secundaria,24.20,1.21
Rio Bolo,2,Rio Bolo - Puente Pradera - Palmira,Rio Bolo - Puente Bolo - San Isidro - vía a Candelaria,10.938,30.024,1996.99,100.0,AGUA,Aguas continentales,46.44,2.33
