rio,tramo,estacion_aguas_arriba,estacion_aguas_abajo,n_registros_arriba,n_registros_abajo,km_inicio,km_fin,longitud_km,area_buffer_ha,cana_ha_cruda,cana_ha_normalizada,pct_cana_del_rio,pct_cobertura_tramo,estacion_arriba_en_zona_canera
Rio Tulua,2,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),19,19,61.522,62.718,1.196,165.69,0.10,0.10,0.02,0.06,si
Rio Tulua,3,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),Rio Tulua - Despues Urbanizacion Maracaibo,19,19,62.718,64.000,1.283,166.39,0.01,0.01,0.00,0.01,si
Rio Tulua,4,Rio Tulua - Despues Urbanizacion Maracaibo,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),19,13,64.000,73.356,9.356,1185.86,572.63,571.00,90.45,48.15,si
Rio Zabaletas,1,Rio Sabaletas - Antes caserío Los Medios,Rio Sabaletas - Cruce sector vía La Novillera,16,16,0.000,14.872,14.872,253.41,44.83,44.72,1.77,17.65,no
Rio Zabaletas,2,Rio Sabaletas - Cruce sector vía La Novillera,Rio Sabaletas - Puente vía Santa Elena-Ginebra,16,16,14.872,20.101,5.229,590.54,343.74,342.85,13.57,58.06,si
Rio Zabaletas,3,Rio Sabaletas - Puente vía Santa Elena-Ginebra,Rio Sabaletas - Antes desembocadura a Rio Cauca,16,16,20.101,43.353,23.252,2751.17,2144.92,2139.40,84.66,77.76,si

# generado,2026-08-03T20:23:08.212Z
# metodo,corte perpendicular local + asignacion por posicion sobre el eje
# area,turf.area geodesica WGS84 normalizada a SUM_AREA_HA (ArcGIS MAGNA-Sirgas)
# total_normalizado_ha,25092.55
