Rio,Estacion,Latitud_WGS84,Longitud_WGS84,Municipio,N_Registros,Anio_Min,Anio_Max,Fuente
Rio Riofrio,Rio Riofrio - Antes Municipio Riofrio,4.156958,-76.297195,,18,2016,2025,CARDER/CVC (tributarios)
Rio Riofrio,Rio Riofrio - Antes desembocadura a Río Cauca,4.141371,-76.283638,,16,2016,2025,CARDER/CVC (tributarios)
Rio Riofrio,Rio Riofrio - Bocatoma Acueducto de Riofrio,4.172028,-76.331567,,18,2016,2025,CARDER/CVC (tributarios)
Rio Riofrio,Rio Riofrio - puente despues Salonica - limnigrafo CVC,4.132912,-76.365018,,18,2016,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Risaralda - Antes Descarga Municipio Mistrató,5.308165,-75.885589,,37,2013,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Risaralda - Después Descarga Municipio Mistrató,5.293912,-75.878735,,45,2010,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Risaralda - Las Palmeras,5.111179,-75.842635,,61,1999,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Risaralda - Puente Negro,4.987874,-75.859077,,50,2007,2025,CARDER/CVC (tributarios)
Rio Risaralda,Río Risaralda - Puente Umbría,5.247729,-75.840945,,65,1997,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Rio Sabaletas - Antes caserío Los Medios,3.694142,-76.179323,,16,2017,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Rio Sabaletas - Antes desembocadura a Rio Cauca,3.745579,-76.385864,,16,2017,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Rio Sabaletas - Bocatoma Acuavalle Santa Elena,3.689689,-76.187333,,16,2017,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Rio Sabaletas - Cruce sector vía La Novillera,3.688158,-76.230651,,16,2017,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Rio Sabaletas - Puente vía Santa Elena-Ginebra,3.69059,-76.264109,,16,2017,2025,CARDER/CVC (tributarios)
Rio Sabaletas,Río Sabaletas - Puente después caserío Los Medios,3.688368,-76.187479,,2,2017,2017,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - Antes Jardin Botanico (limnigrafo CVC),4.012376,-76.155708,,19,2016,2025,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - Antes desembocadura a Río Cauca,4.129757,-76.216132,,6,2018,2024,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - Despues Urbanizacion Maracaibo,4.110881,-76.20242,,19,2016,2025,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - Puente Ferrocarril Barrio La Trinidad,4.09214,-76.194371,,19,2016,2025,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - Puente Nuevo (Barrio 7 de Agosto),4.102134,-76.196909,,19,2016,2025,CARDER/CVC (tributarios)
Rio Tulua,Rio Tulua - antes desembocadura a Río Cauca (vereda El Salto),4.129757,-76.216132,,13,2016,2025,CARDER/CVC (tributarios)
Rio Riofrio,Rio Riofrio - Rio Valcanes,4.124056,-76.372149,,18,2016,2025,CARDER/CVC (tributarios)
Rio Desbaratado,Antes de bocatoma cabecera Miranda,3.265417,-76.215194,,18,2019,2026,CARDER/CVC (tributarios)
Rio Desbaratado,Antes de porcícola (Pte. Jordán),3.286,-76.306056,,18,2019,2026,CARDER/CVC (tributarios)
Rio Desbaratado,Puente Ortigal,3.281778,-76.319861,,18,2019,2026,CARDER/CVC (tributarios)
Rio Palo,Antes Bocatoma Propal,3.184316,-76.41582,,8,2010,2012,CARDER/CVC (tributarios)
Rio Palo,Antes de PTAR Guachené,3.128159,-76.393917,,25,2016,2025,CARDER/CVC (tributarios)
Rio Palo,Bocatoma corregimiento El Palo,3.061983,-76.348686,,20,2017,2025,CARDER/CVC (tributarios)
Rio Palo,Desembocadura a río Cauca,3.259067,-76.458543,,25,2016,2025,CARDER/CVC (tributarios)
Rio Palo,Después de PTAR Guachené,3.133156,-76.403417,,22,2017,2025,CARDER/CVC (tributarios)
Rio Palo,Puente PICC,3.205258,-76.414101,,22,2017,2025,CARDER/CVC (tributarios)
Rio Palo,Puente Perico Negro,3.216244,-76.421797,,25,2016,2025,CARDER/CVC (tributarios)
Rio Palo,Puente Puerto Tejada,3.230295,-76.422429,,22,2017,2025,CARDER/CVC (tributarios)
Rio Palo,Puente del Maíz,3.163996,-76.419846,,22,2017,2025,CARDER/CVC (tributarios)
Rio Cauca,La Primavera,3.371058,-76.468678,Santiago de Cali,,,,CVC
Rio Cauca,Antes Ovejas,2.957417,-76.691514,<Null>,,,,CVC
Rio Cauca,Buenos Aires - Cauca,3.082311,-76.642136,<Null>,,,,CVC
Rio Cauca,Puente Guayabal,4.405219,-76.101375,Zarzal,,,,CVC
Rio Cauca,Juanchito,3.450444,-76.475953,Candelaria,,,,CVC
Rio Cauca,Paso de La Balsa,3.092042,-76.599086,Buenos Aires - Cauca,,,,CVC
Rio Cauca,Paso de La Bolsa,3.205586,-76.494339,Villarica - Cauca,,,,CVC
Rio Cauca,La Victoria,4.525317,-76.043628,La Victoria,,,,CVC
Rio Cauca,La Virginia - Risaralda,4.884097,-75.869928,La Virginia,,,,CVC
Rio Cauca,Paso La Torre,3.631214,-76.450756,Yumbo,,,,CVC
Rio Cauca,Paso del Comercio,3.492794,-76.483025,Santiago de Cali,,,,CVC
Rio Cauca,Yumbo,3.5485,-76.486097,Yumbo,,,,CVC
Rio Cauca,Riofrio,4.123919,-76.269097,Riofrio,,,,CVC
Rio Cauca,Vijes,3.727164,-76.409317,Yotoco,,,,CVC
Rio Cauca,Yotoco,3.851086,-76.373631,Yotoco,,,,CVC
Rio Cauca,Antes Suárez,2.95101111,-76.69785278,,,,,CVC
Rio Cauca,Hormiguero,3.30186389,-76.47719167,,,,,CVC
Rio Cauca,Mediacanoa,3.89091389,-76.34902778,76111,,,,CVC
Rio Cauca,Anacaro,4.78368333,-75.96610278,76147,,,,CVC
