Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
123;RIO GUATICA, DESEMBOCADURA;77;0.75;0.74;4285;18.2;21.5;123.9;7.93;8.43;13.8;7.87;40;92.4;43.4;40.6;31.2;< 20;< 1;-;-;0.56;< 0.01;0.189;-;1.5;9.1;0.54;< 0.025;17250;1850;2018-02-26;00:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;76;0.76;0.78;8219;18.8;21.7;82.8;7.9;8.3;33.4;7.82;20;117;25.1;32.9;33.3;< 20;< 1;-;-;0.62;< 0.01;0.297;-;2.5;10.5;7.4;*;11370;3050;2018-09-17;11:20:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;68;0.6;0.66;-;18.8;24.1;50.2;7.65;8.25;93.6;7.42;50;372;296;18.8;19.2;< 20;< 2;-;-;0.57;< 0.0091;0.128;-;1.9;< 7;0.07;< 0.025;20980;3860;2019-06-06;12:10:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;76;0.79;0.8;6007;18.8;22.6;77.4;7.78;8.17;6.6;7.78;20;98;21.5;33.2;32.9;< 20;< 2;-;-;0.394;< 0.0091;0.129;-;2.6;< 7;-;< 0.025;15531;1565;2019-12-10;11:20:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;74;0.74;0.77;-;18.3;21.8;61.3;7.8;8.13;29;7.06;30;134;67.3;24.9;28.4;< 20;< 2;-;-;0.259;< 0.0091;0.25;-;0.735;< 5;0.17;< 0.025;48840;5280;2020-11-17;13:20:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;75;0.78;0.79;7890;20.2;24.9;96.7;7.78;8.1;11;7.86;40;99;35;33.8;33.6;< 20;< 2;-;-;0.354;0.0108;0.171;-;< 5;5.61;1.52;< 0.025;29870;1440;2021-06-29;00:20:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;73;0.75;0.76;9735;19.2;24.6;94.3;7.74;7.93;15;7.94;40;122;57.2;35.6;24.6;< 20;< 2;-;-;0.334;0.0128;0.135;-;< 5;< 5;2.16;< 0.025;16640;4410;2021-09-13;13:10:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;79;0.75;0.76;8896;20.4;22;90;7.75;7.9;7.7;22;20;159;55.9;34.8;31.8;< 20;< 2;-;-;0.304;0.0126;0.094;-;< 5;< 5;1.45;< 0.025;51720;4140;2022-04-18;13:20:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;Faltan variables;Faltan variables;Faltan variables;8188.59;20.5;24.4;113.9;7.77;7.67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2022-11-08;13:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;74;0.8;0.8;6248.14;21.5;27.2;80.49;7.83;7.41;13;-;20;103;26.1;36.1;37.2;< 20;< 2;-;-;0.278;0.0114;0.113;-;< 5;< 5;1.08;< 0.025;17329;1515;2023-06-13;13:15:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;77;0.77;0.77;2050.21;21.4;23.5;97.6;7.44;7.59;18;-;50;114;27.3;38.1;39.5;< 20;< 2;-;-;0.228;0.0097;0.143;-;< 8;< 5;1.18;< 0.025;26030;6630;2023-10-10;13:40:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;80;0.9;0.89;-;21.9;24.4;80.61;7.64;7.57;12;-;20;97;22.2;26.8;29.1;< 20;< 2;-;-;0.175;0.0062;< 0.09;-;< 8;< 5;1.19;0.089;30760;320;2024-06-17;13:40:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;73;0.67;0.69;-;20.7;23.5;99.91;7.54;7.72;40;-;30;188;122;28.6;30.8;20.4;2.7;-;-;0.181;0.0108;0.126;-;< 8;< 5;0.86;< 0.025;1046200;106300;2024-10-21;14:00:00;1228.295768
123;RIO GUATICA, DESEMBOCADURA;74;0.75;0.75;-;19.8;23.8;107.82;7.33;7.89;21.1;-;10;134;55.5;30.9;30.1;< 20;< 2;-;-;0.181;< 0.005;0.13;-;< 8;6.5;0;0.025;141360;5830;2025-06-09;00:40:00;1228.295768
