Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;0.5;23.2;22.2;55.5;8.48;-;-;8.35;-;2611;188;1780;-;1598;623;-;-;-;-;-;-;500;95.4;6.6;-;-;-;2010-11-10;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;4.54;27.8;24.3;16.2;8.2;-;-;8.34;-;9632;260;6944;-;4870;2458;-;-;-;-;-;-;882;351;22.8;-;-;-;2011-05-11;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;371;18.4;22.1;59;7.19;8.02;2.2;7.51;20;76.3;-;26;19.4;21.3;1;8.02;-;0.23;0.002;-;-;1;4.9;-;-;2800;-;2011-08-01;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;-;22.7;27;667;7.82;-;0.29;8.2;20;378;2.1;166;-;-;-;-;-;0.32;0.002;-;-;99.5;2.8;-;-;12;-;2012-09-03;00:00:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;74;0.72;0.73;12553;21.0;27;106;7.81;8.09;8.8;8.04;20;88.7;10.4;33.6;42;< 21.3;< 1;-;-;0.42;0.0044;< 0.09;-;2;6;2.3;< 0.025;17000;7900;2013-04-10;08:35:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;77;0.72;0.74;18733;19.0;21.9;91;8.04;8.14;10.3;7.88;30;109;25.3;43.5;28.5;< 21.3;< 1;-;-;0.7;0.0046;0.126;-;1.5;10.8;0;< 0.025;24000;3500;2013-08-28;08:42:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;74;0.74;0.75;20708;20.1;24.7;109;8.15;8.13;12.9;7.83;-;108;27.8;49.5;42.5;< 20;< 1;-;-;0.78;0.0074;< 0.09;-;2.5;6.7;0.18;< 0.025;30760;2560;2013-11-20;09:16:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;72;0.74;0.76;27212;19.8;26.7;93;7.95;8.01;22.2;7.87;20;187;57;40.2;37.1;< 20;< 1;-;-;0.71;0.0084;0.12;-;< 1.5;8.3;1.3;< 0.025;51720;4430;2014-03-05;10:31:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;73;0.74;0.73;9824;20.5;27.1;135;8.18;8.41;3.3;7.78;10;102;6.7;62.2;57;< 20;< 1;-;-;0.71;0.004;< 0.09;-;2;5.4;1.7;< 0.025;43520;5120;2014-07-16;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;71;0.71;0.7;6781;22.3;30.4;146;8.46;8.23;6.6;8.07;20;121;7.4;67;61.5;< 20;< 1;-;-;0.76;0.0066;0.134;-;4;6.4;-;-;30760;3050;2014-09-10;09:19:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;68;0.72;0.73;9612;21.0;23;104;8.34;8.2;7.8;8.09;20;106;30;50;47.6;< 20;1.7;-;-;0.61;0.0103;10.6;-;3;< 7;2.6;< 0.025;36540;4550;2015-03-04;08:45:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;76;0.84;0.82;6110;21.0;26.2;133;8.23;8.2;3.2;8.22;10;119;6.6;60.2;57.2;< 20;< 1;-;-;0.56;0.0082;0.095;-;4;< 7;1.3;< 0.025;17230;520;2015-08-19;08:43:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;76;0.76;0.77;18409;20.2;24.1;102;7.78;8.17;10.7;7.83;20;106;20.7;43.4;41.4;< 20;1.2;-;-;0.6;0.0074;< 0.09;-;< 1.5;8.8;0;-;57940;2430;2015-11-25;08:18:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;74;0.75;0.77;11974;20.9;27.2;90.9;7.39;8.29;11.1;7.7;30;96;21.9;39.4;47.2;< 20;1.9;-;-;* 0.48;0.0038;< 0.09;-;2.5;9.4;5.6;< 0.025;57940;3550;2016-04-06;08:40:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;76;0.72;0.74;8015;22.3;25.8;106.6;8.23;8.09;4.2;7.98;5;93.2;30.7;47.3;44.6;< 20;1.2;-;-;* 0.33;0.0052;0.115;-;< 1.5;< 7;3;< 0.025;32550;2660;2016-06-24;08:55:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;69;0.71;0.73;-;19.6;29.8;79.4;7.46;7.74;46.8;7.57;40;220;130;23;31;< 20;1.1;-;-;* 0.92;0.002;0.27;-;< 1.5;16.8;-;-;56300;4100;2016-11-08;08:30:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;Faltan variables;Faltan variables;Faltan variables;12151;20.2;22.8;117;7.86;8.88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2017-02-15;08:50:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;76;0.77;0.74;16374;19.9;24.3;149.7;7.78;8.15;4.3;7.86;20;107;9.8;52.6;52.3;< 20;< 1;-;-;0.82;< 0.01;< 0.09;-;1.5;< 7;-;-;30760;2280;2017-07-12;08:50:00;977.7670528
48;RIO RISARALDA, LAS PALMERAS;71;0.71;0.72;-;19.8;24.7;104.5;7.51;7.72;68.5;7.5;50;208;128;41.4;91;< 20;1.6;-;-;0.73;< 0.01;0.138;-;3;< 7;-;-;141360;4260;2017-10-04;08:40:00;977.7670528
