"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1998 Dec 19 12:00:00 AM","YOTOCO","7.1","4.1",,"4.1",,"110",,"4.2",,"1.5",,,,,,,,"103",,,,,,,,,,,,,,,,,,,,,"3.08",,,,,,,,,,,,,,,
"1998 Dec 19 12:00:00 AM","MEDIACANOA","7","2",,"2",,"130",,"3",,"1.81",,,,,,,,"103",,,,,,,,,,,,,,,,,,,,,"3.02",,,,,,,,,,,,,,,
"1998 Dec 19 12:00:00 AM","PASO DE LA TORRE","7","22.9",,"3.4",,"153.3",,"5",,"2",,,,,,,,"110",,,,,,,,,,,,,,,,,,,,,"3.59",,,,,,,,,,,,,,,
"1990 May 09 12:00:00 AM","ANTES SUAREZ","6.6",,,,"157","29.3","127.7","0.5","5.2","5.6","30","18","12","7.2","2.9","12.6","15.4","73.9","2.65",,"0.4",,"4.66",,"1.14",,"0",,"0.021",,,,,,"0.41","0.49","0.003","0.06","5","0.042",,"19",,,,,"0",,,,,"2.4*10E4","23",
"1990 Jan 10 12:00:00 AM","ANTES RIO OVEJAS","6.7",,,,"143","65","78","2.1","24","6","88.6","13.2","15.4","5.3","3.7","14","17.1","67.9","3.07",,"0.12",,"3.95",,"1.16",,"0",,"0.014",,,,,,,,"0.0018","0.03","6",,"0.01","18",,,,,,,,,,"2.4*10E4","24*10E4",
"1990 May 09 12:00:00 AM","ANTES RIO TIMBA","6.8",,,,"181","109","72","2.8","6.2","6.9","36","16","20","6.4","4.8","16.8","20.5","69.5","15.5",,"0.21",,"4.97",,"1.32",,"0.043",,"0.04",,,,,,,"0.29","0.004","0.06","4","0.11","0.045","16.5",,,,,"0",,,,,"2.4*10E8","2.4*10E4",
"1990 Jan 10 12:00:00 AM","PASO DE LA BALSA","7.1",,,,"380","293","87","1","26","7.2","26.4","15.4","11","6.2","2.6","16","19.5","62.2","13.4",,"0.29",,"5.16",,"1.55",,"0.02",,"0.074",,,,,,,,"0.002","0.023","4",,"0.01","22",,,,,,,,,,"2.4*10E5","9550",
"1990 May 09 12:00:00 AM","PASO DE LA BOLSA","6.9",,,,"187","118","69","1.6","64.8","6.5","36","14","22","5.6","5.3","16.8","20.5","71.7","6.35",,"0.18",,"4.98",,"1.25",,"0.013",,"0.07",,,,,,,"0.29","0.004","0.12","5","0.08","0.035","16",,,,,"0",,"0",,,"9.55*10E5","2.3*10E5",
"1990 May 09 12:00:00 AM","PUENTE HORMIGUERO","6.8",,,,"372","315","57","0.7","18.7","6.3","42","20","22","8","5.3","18.9","23","85.8","12",,"0.25",,"5.93",,"1.57",,"0",,"0.066",,,,,,,"0.29","0.002","0.05","4","0.21","0.02","18",,,,,"0",,"0",,,"2.4*10E5","2.4*10E5",
"1990 May 09 12:00:00 AM","ANTES INTERCEPTOR SUR","6.9",,,,"238","175","63","3","10.4","5.8","42","18","24","7.2","5.7","21","25.6","82.6","7.55",,"0.19",,"4.77",,"1.36",,"0",,"0.011",,,,,,,"0.29","0.003","0.04","4","0.2","0.04","18.8",,,,,"0",,"0",,,"2.31*10E6","2.3*10E5",
"1990 May 02 12:00:00 AM","JUANCHITO","6.8",,,,,"364",,"2","16","5.7","42","20","20",,,"27.3",,"90","20",,"0.42",,"7.11",,"2.37",,"0.024",,"0.056",,,,,,,,"0.004","0.05","4","0.28",,"15",,,"0.04",,,,"0.1",,,,,
"1990 Jan 11 12:00:00 AM","PASO DEL COMERCIO","7.1",,,,"316","215","101","3","44","5.9","35.2","19.8","15.4","7.9","3.7","24","29.3","81.4","10.28",,"0.23",,"4.73",,"1.48",,"0.01",,"0.061",,,,,,,,"0.006","0.04",,,"0.018","17",,,,,,,,,,"2.4*10E7","2.4*10E4",
"1990 Jan 11 12:00:00 AM","PUERTO ISAACS","7",,,,"346","245","101","3.3","30","5.2","44","22","22","8.8","5.3","24","29.3","89.1","14.72",,"0.78",,"5.86",,"1.84",,"0.04",,"0.091",,,,,,,,"0.0062","0.022",,,"0.022","15.5",,,,,,,,,,"2.4*10E7","2.4*10E4",
"1990 Jan 11 12:00:00 AM","PASO DE LA TORRE","7.2",,,,"397","21.7","85.3","3","37","3.4","44","22","22","8.8","5.3","24","29.3","110.6","14.7",,"0.27",,"6.26",,"2.3",,"0.03",,"0.043",,,,,,,,"0.01","0.01",,,"0.03","19.5",,,,,,,,,,"2.4*10E7","2.4*10E5",
"1990 Jan 11 12:00:00 AM","VIJES","7.3",,,,"536","421.7","114.3","5.1","48","2.4","50.6","33","17.6","13.2","4.2","34","41.5","127.3","22.16",,"0.37",,"8.17",,"2.76",,"0.04",,"0.079",,,,,,,,"0.02","0.068",,,"0.027","20.5",,,,,,,,,,"2.4*10E7","2.4*10E4",
"1990 Jan 11 12:00:00 AM","YOTOCO","7.1",,,,"464","345","119","0.8","51","1.6","57.2","33","24.2","13.2","5.8","46","56.1","139","15.56",,"0.28",,"9.29",,"2.48",,"0.03",,"0.079",,,,,,,,"0.013","0.018","8",,"0.03","22",,,,,,,,,,"2.4*10E7","2.4*10E4",
"1990 Jan 11 12:00:00 AM","MEDIACANOA","7.4",,,,"562","411.7","150.3","5.3","45","1.5","59.4","30.8","28.6","12.3","6.9","44","53.7","13.7","18.42",,"0.38",,"9.4",,"3.02",,"0.08",,"0.137",,,,,,,,"0.015","0.018","7",,"0.012","19.8",,,,,,,,,,"2.4*10E6","2.4*10E4",
"1990 Jan 12 12:00:00 AM","RIOFRIO","7.3",,,,"563","460","103","3.8","55","2.7","61.6","33","28.6","13.2","6.9","40","48.8","130.6","15",,"0.4",,"7.02",,"2.43",,"0.033",,"0.039",,,,,,,,"0.02","0.047","5",,"0.02","21",,,,,,,,,,"2.4*10E6","2.4*10E4",
"1990 Jan 12 12:00:00 AM","PUENTE GUAYABAL","7.3",,,,"764","608.4","155.6","3.72","59","2.6","72.6","37.4","35.2","15","8.4","48","58.6","153.6","18.1",,"0.3",,"6.97",,"2.52",,"0.05",,"0.052",,,,,,,,"0.027","0.018","6",,"0.03","23.5",,,,,,,,,,"2.4*10E6","2.4*10E4",
"1990 Jan 12 12:00:00 AM","LA VICTORIA","7.4",,,,"774","636.7","137.3","3.24","59","2.6","66","37.4","28.6","15","6.9","50","61","156.9","20.8",,"0.5",,"8.06",,"3.08",,"0.06",,"0.067",,,,,,,,"0.027","0.038","6",,"0.033","24",,,,,,,,,,"2.4*10E6","2.4*10E4",
"1990 Jan 12 12:00:00 AM","ANACARO","7.8",,,,"978","818.4","159.6","3.24","59","3","68.2","37.4","30.8","15","7.4","50","61","157.9","30.6",,"0.72",,"9.87",,"3.51",,"0.08",,"0.114",,,,,,,,"0.028","0.058","6",,"0.04","26",,,,,,,,,,"2.4*10E5","2.4*10E4",
"1990 Jan 12 12:00:00 AM","PUENTE LA VIRGINIA","7.4",,,,"678","551.7","126.3","2.28","44","3.3","72.6","35.2","37.4","14.1","9","52","63.4","153.6","19.13",,"0.6",,"10.2",,"2.65",,"0.06",,"0.114",,,,,,,,"0.0238","0.042","5",,"0.06","26",,,,,,,,,,"2.4*10E7","2.4*10E4",
"1990 Jul 25 12:00:00 AM","ANTES SUAREZ","6.6",,,"2.6","84","4.6","4.6","1.5","20.8","3.8","32.2","9.2","23","3.7","5.5","12","14.6","84","1.73",,"0.05",,"7.08",,"1.47",,"0",,"0.02",,,,,,,"0.37","0","0.03","7.1","0.06","0.03",,,,,,"0.01",,"0",,,"2.4*10E3","2.4*10E3",
"1990 May 09 12:00:00 AM","ANTES RIO OVEJAS","6.5",,,,"135","22.2","112.8","0.2","5.2","5.5","30","12","18","4.8","4.3","12.6","15.4","73.9","1.91",,"0.21",,"4.67",,"1.06",,"0",,"0",,,,,,,"0.2","0.002","0.038","5","0.042",,"19",,,,,"0",,,,,"23","23",
"1990 Jan 10 12:00:00 AM","ANTES RIO TIMBA","7.1",,,,"611","524.9","86.1","1.1","39","7.2","26.4","13.2","13.2","5.3","3.2","14","17.1","50","19.8",,"0.3",,"4.06",,"1.67",,"0.03",,"0.08",,,,,,,,"0.0018","0.06","4",,"0.06","19",,,,,,,,,,"2.41E+05","955",
"1990 May 09 12:00:00 AM","PASO DE LA BALSA","6.9",,,,"231","132.9","98.1","0.6","4.1","6.4","30","14","16","5.6","3.8","16.8","15.4","72.8","6.77",,"0.19",,"4.31",,"1.25",,"0",,"0.012",,,,,,,"0.29","0.009","0.1","6","0.1",,"5",,,,,"0",,,,,"2.4*10E5","2.4*10E3",
"1990 Jan 10 12:00:00 AM","PASO DE LA BOLSA","7.3",,,,"359","171","88","33","7.1","30.8","19.8","11","7.9","2.6","0","0","62.2","0.45","0.2",,"0.2",,"4.6",,"0.93",,"0.01",,"0.069",,,,,,,,"0.19","0.022","4",,"0.01","16",,,,,"0",,,,,"2.4*10E4","2.4*10E5",
"1990 Jan 10 12:00:00 AM","PUENTE HORMIGUERO","7.2",,,,"464","360","104","39","6.5","37.4","22","15.4","8.8","3.7","0","0","77.3","15.1","1.17",,"1.17",,"5.04",,"1.69",,"0.04",,"0.07",,,,,,,,"0.19","0.042","4",,"0.01","21",,,,,"0",,"0",,,"2.4*10E5","2.4*10E4",
"1990 Jan 10 12:00:00 AM","ANTES INTERCEPTOR SUR","7.2",,,,"358","271","87","33","6.5","39.6","19.8","19.8","7.9","4.8","0","0","75.4","3.1","0.24",,"0.24",,"4.87",,"1.11",,"0.02",,"0.088",,,,,,,,"0.28","0.05","4",,"0.01","18",,,,,"0",,"0",,,"2.4*10E5","2.4*10E5",
"1990 May 10 12:00:00 AM","JUANCHITO","7.2",,,"220","638","243.3","394.7","1.6","24","5.3","58","18","40","7.2","9.6","23.1","28.2","82.2","26.24",,"0.63",,"7.49",,"2.95",,"0.025",,"0",,,,,,,"0.29","0.002","0.05","3","0.268","0.01","5",,,,,,,,,,"2.4*10E5","2.4*10E5",
"1990 May 10 12:00:00 AM","PASO DEL COMERCIO","7",,,"180","530","435","95","2.3","24","5.2","40","20","20","8","4.8","21","25.6","88.5","22.2",,"0.39",,"6.25",,"2.58",,"0.006",,"0.08",,,,,,,"0.2","0.001","0.07","5","0.21","0.015","25.2",,,,,"0",,,,,"9.55*10E6","9.55*10E6",
"1990 May 10 12:00:00 AM","PUERTO ISAACS","7",,,"120","350","246","104","1.8","16","4.7","42","24","18","9.6","4.3","25.2","30.7",,"10.4",,"0.27",,"6.7",,"1.93",,"0",,"0.038",,,,,,,"0.2","0.001","0.1",,"0.001","0.01","20.3",,,,,"0",,,,,"2.4*10E6","2.4*10E4",
"1990 May 02 12:00:00 AM","PASO DE LA TORRE","6.8",,,,,"576",,"3.3","52","3.9","44","24","20",,,"29.4",,"121.2","26.9",,"0.48",,"10.2",,"2.87",,"0.049",,"0.071",,,,,,,,"0.024","0.098","6","0.3",,"24",,,"0.097",,,,"0.2",,,,,
"1990 May 10 12:00:00 AM","VIJES","7",,,,"220","147","73","1.9","17.7","2.8","48","28","20","11.2","4.8","33.6","41","113.4","8.19",,"0.27",,"6.82",,"1.59",,"0",,"0.014",,,,,,,"0.29","0.008","0.038","6","0.24","0.045","16.6",,,,,"0",,,,,"2.4*10E6","2.4*10E6",
"1990 May 10 12:00:00 AM","YOTOCO","7.5",,,,"308","271","37","1.9","20.8","2.8","50","28","22","11.2","5.3","35.7","43.6","164.3","10.73",,"0.35",,"8.19",,"1.88",,"0",,"0.048",,,,,,,"0.29","0.006","0.03","6","0.23","0.037","29.5",,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 May 10 12:00:00 AM","MEDIACANOA","7.1",,,,"526","466","0","2.1","36.4","2.5","74","32","42","12.8","10","35.7","43.6","127","16.6",,"0.43",,"7.53",,"2.11",,"0",,"0.038",,,,,,,"0.39","0.008","0.038","6","0.285","0.005","18",,,,,"0",,,,,"2.4*10E7","2.4*10E6",
"1990 May 16 12:00:00 AM","RIOFRIO","6.6",,,,"592","250","242","3.3","31.2","15","55.2","36.8","27.6","11","6.6","37.8",,"116.3","13.6",,"0.37",,"7.58",,"2.35",,"0",,"0.03",,,,,,,"0.35","0.004","0.05","5","0.445","0.14","17",,,,,"0",,,,,"2.4*10E5","2.4*10E5",
"1990 May 16 12:00:00 AM","PUENTE GUAYABAL","6.6",,,,"546","129.9","218.5","1.3","23.9","2.6","64.4","30","34.5","11.9","8.2","37.8","61","122.4","15.57",,"0.42",,"6.92",,"1.98",,"0",,"0.025",,,,,,,"0.29","0.006","0.13","4","0.32","0.023","14.5",,,,,"0",,,,,"2.4*10E6","2.4*10E6",
"1990 May 16 12:00:00 AM","LA VICTORIA","6.7",,,,"592","488.7","103.3","0.1","23.9","2.3","64.4","27.6","27.6","14.7","6.6","42",,"117","16.68",,"0.45",,"6.64",,"20.5",,"0",,"0.026",,,,,,,"0.24","0.005","0.14","5","0.395","0.018","15.8",,,,,"0",,,,,"2.4*10E4","2.4*10E4",
"1990 Aug 01 12:00:00 AM","ANACARO","6.8",,,"73","321","137.8","183.2","4.7","27","2","89.7","48.3","41.4","19.3","9.9","50","61","140","5.9",,"0.28",,"8.8",,"1.8",,"0.028",,"0.05",,,,,,,"0.37","0.052","0.22","8.6","0.28","0.02",,,,,,"0",,,,,"2.4*10E3","2.4*10E3",
"1990 Aug 01 12:00:00 AM","PUENTE LA VIRGINIA","6.7",,,"45","260","91.3","168.7","4.5","21.8","3.2","131.1","126.5","4.6","50.6","1.1","56","68.3","137","5.2",,"0.12",,"6.5",,"2",,"0.03",,"0.02",,,,,,,"0.23","0.027","0.18","8.7","0.2","0.01",,,,,,"0",,,,,"2.4*10E7","2.4*10E7",
"1990 Jul 25 12:00:00 AM","ANTES RIO OVEJAS","6.5",,,"3","91","6.1","84.9","1.7","17.7","4","34.5","13.8","20.7","5.5","5","12","14.6","84","2.05",,"0.1",,"6.46",,"1.67",,"0.002",,"0.03",,,,,,,"0","0","0.02","6.5","0.1","0.02",,,,,,"0",,"0",,,"2.4*10E6","2.4*10E6",
"1990 Jul 25 12:00:00 AM","ANTES RIO TIMBA","6.7",,,"9","106","7.9","98.1","0.1","1.46","5.5","32.2","16.1","16.1","6.4","3.9","18","22","83.4","2.68",,"0.02",,"5.98",,"1.4",,"0.003",,"0.04",,,,,,,"0.57","0.004","0.01","6.9","0.05","0.012",,,,,,"0",,"0",,,"2.4*10E4","2.4*10E4",
"1990 Jul 25 12:00:00 AM","PASO DE LA BALSA","7.1",,,"2.8","70","3.6","66.4","0.7","14.6","6.6","32.2","11.5","20.7","4.6","5","16","19.5","82","2.21",,"0.14",,"6.56",,"1.48",,"0.015",,"0.03",,,,,,,"0.19","0.002","0.02","5.4","0.11","0.02",,,,,,"0",,"0",,,"2.4*10E3","2.4*10E3",
"1990 Jul 25 12:00:00 AM","PASO DE LA BOLSA","7.1",,,"15","98","32.3","65.7","1","23.9","6","36.8","18.4","18.4","7.4","4.4","18","22","83.4","3.89",,"0.03",,"6.87",,"1.37",,"0",,"0",,,,,,,"0.62","0.004","0.02","5.5","1.32","0.028",,,,,,"0",,"0",,,"2.4*10E6","2.4*10E4",
"1990 Jul 25 12:00:00 AM","PUENTE HORMIGUERO","7.3",,,"23","145","39.5","105.5","0.3","18.7","5.8","41.4","23","18.4","9.2","4.4","20","24.4","92.5","5.52",,"0.02",,"7.29",,"1.65",,"0",,"0.04",,,,,,,"0.39","0.0062","0.02","5.2","0.12","0.03",,,,,,"1.8",,"0",,,"2.4*10E7","2.4*10E7",
"1990 Jul 25 12:00:00 AM","ANTES INTERCEPTOR SUR","6.8",,,"82","383","182.5","200.5","19.5","180","0","110.4","64.4","46","25.8","11","88","107.4","319.5","10.72",,"0.53",,"18.9",,"3.78",,"0",,"0.04",,,,,,,"5.5","0.016","0.03","20","2.3","0.42",,,,,,"7.7",,"0",,,"2.4*10E14","2.4*10E14",
"1990 Jul 12 12:00:00 AM","JUANCHITO","7",,,"70","109",,,,,"5.8",,,,,,,,,"8.36",,"0.11",,,,,,"0.037",,"0.01",,,,,,,,"0.003","0.16","5","0.195",,"15.2","0",,"0",,"0",,"0",,,"2.4*10E6","2.4*10E6",
"1990 Jul 26 12:00:00 AM","PASO DEL COMERCIO","7",,,"26","189","61.6","127.4","2.6","27","4.5","57.5","23","34.5","9.2","8.3","28","34.2","115.8","5.19",,"0.11",,"5.15",,"1.82",,"0",,"0.043",,,,,,,"0.19","0.003","0.05","5.3","0.25","0.045",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 Jul 26 12:00:00 AM","PUERTO ISAACS","7.1",,,"35","203","65","138","15","16.6","3","59.8","20.7","39.1","8.3","9.4","28","34.2","123.7","3.94",,"0.11",,"5.97",,"1.89",,"0",,"0.035",,,,,,,"0.37","0.008","0.02","7","0.15","0.045",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 May 10 12:00:00 AM","PASO DE LA TORRE","7",,,"100","280","203","77","3.8","20","4.8","48","28","20","11.2","4.8","29.4","35.9","111.8","0.09",,"0.32",,"7.17",,"1.88",,"0",,"0.071",,,,,,,"0.32","0.0058","0.078","6","0.27","0.02","15",,,,,"0",,,,,"2.4*10E6","2.4*10E6",
"1990 Jul 12 12:00:00 AM","VIJES","7.2",,,"88",,"114",,,,"1.9",,,,,,"24",,,"1.33",,"0.15",,,,,,"0.041",,"0.01",,,,,,,,"0.012","0.062","6","0.252",,"18.2","0",,"0",,"0",,"0",,,"2.4*10E6","2.4*10E6",
"1990 Jul 26 12:00:00 AM","YOTOCO","6.6",,,"40","201","56","145","2","17.7","0.6","78.2","32.2","46","12.9","11","42","51.2","161.6","5.43",,"0.19",,"8.39",,"2.68",,"0.002",,"0.052",,,,,,,"0.75","0.01","0.018","9.6","0.21","0.04",,,,,,"0",,,,,"2.4*10E4","2.4*10E4",
"1990 Jul 26 12:00:00 AM","MEDIACANOA","7",,,"30","220","93","127","2.6","22.9","0.9","82.8","39.1","43.7","15.6","10.5","152","185.4","134","6.23",,"0.19",,"8.03",,"2.8",,"0",,"0.211",,,,,,,"0.5","0.012","0.01","8.2","0.15","0.05",,,,,,"0",,,,,"2.4*10E6","2.4*10E6",
"1990 Aug 09 12:00:00 AM","RIOFRIO","7.1",,,"45","211","100","111","2","22.9","2","66.5","34.5","32.2","13.8","7.7","34","41.5","151.5","6.84",,"0.19",,"8.2",,"2.62",,"0.022",,"0.039",,,,,,,"0.45","0.07","0.13","8","0.2","0.022",,,,,,"0",,,,,"2.4*10E5","2.4*10E3",
"1990 Aug 09 12:00:00 AM","PUENTE GUAYABAL","7.1",,,"41","283",,"153.1","3.7","8.3","2.2","75.9","39.1","36.8","15.6","8.8","38","46.4","160","3.87",,"0.19",,"8",,"3.02",,"0.015",,"0.056",,,,,,,"0.19","0.032","0.16","9.6","0.3","0.022",,,,,,"0",,,,,"2.4*10E4","2.4*10E4",
"1990 Aug 01 12:00:00 AM","LA VICTORIA","6.9",,,"69","245","79.2","165.8","4.6","21.8","2","85.1","46","39.1","18.4","9.4","50","61","110","7",,"0.45",,"5.2",,"2.1",,"0.036",,"0.06",,,,,,,"0.19","0.038","0.18","8.9","0.24","0.055",,,,,,"0",,,,,"2.4*10E5","2.4*10E4",
"1998 Dec 19 12:00:00 AM","VIJES","6.9","23.2",,"4.2",,"240",,"3.9",,"1.7",,,,,,,,"106",,,,,,,,,,,,,,,,,,,,,"3.7",,,,,,,,,,,,,,,
"1990 Jul 26 12:00:00 AM","JUANCHITO","7.1",,,"33","173","62","111","0.8","15.6","5","57.5","18.4","39.1","7.4","9.4","26","31.7","95.9","5.97",,"0.11",,"4.55",,"1.93",,"0.035",,"0.039",,,,,,,"0.09","0.003","0.01","5.8","0.15","0.025",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 Oct 02 12:00:00 AM","PUERTO ISAACS","6.6",,,"28","172","33","139","5.3","16","2.3","55","22","33","8.8","7.9","26.4","32.1","156.6","2.82",,"0.11",,"7.77",,"2.35",,"0.025",,"0.021",,,,,,,"0.46","0.026","0.07","9",,"0.04",,,,,,"0",,,,,"2.4*10E6","2.4*106",
"1990 Jul 26 12:00:00 AM","PASO DE LA TORRE","7",,,"30","233","85","148","4.8","36.4","0.4","58.1","32.2","52.9","12.9","12.7","40","48.8","163.2","4.36",,"0.12",,"9.05",,"2.76",,"0",,"0.085",,,,,,,"0.28","0.012","0.02","9.2","0.25","0.05",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 Jul 26 12:00:00 AM","VIJES","6.9",,,"25","169","50","119","3.4","19.8","0","75.9","27.6","48.3","11","11.6","42","51.2","156.4","2.87",,"0.13",,"8.4",,"2.65",,"0",,"0.127",,,,,,,"0.65","0.028","0.022","8.7","0.25","0.055",,,,,,"0",,,,,"2.4*10E5","2.4*10E5",
"1990 Aug 09 12:00:00 AM","MEDIACANOA","7.5",,,"32.5","218","16","202","2.2","16.6","0.9","62.1","34.5","27.6","13.8","6.6","30","36.6","145","5.04",,"0.13",,"8.02",,"2.42",,"0.009",,"0.021",,,,,,,"0.9","0.012","0.1","10","0.14","0.03",,,,,,"0",,,,,"2.4*10E4","2.4*10E4",
"1290 May 19 12:00:00 AM","RIOFRIO","6.6",,,"350","2361","2112","248.5","2.6","156","3.2","69","29.9","39.1","11.96","9.4","39.9","48.7","150","12.95",,"2.12",,"9",,"9.95",,"0.28",,"0.092",,,,,,,"0.31","0.021","0.05","16","0.08","0.062",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 Aug 30 12:00:00 AM","JUANCHITO","7.1",,,"50","113",,,"3.21","24","4.1",,,,,,"20",,,"5.73",,"0.17",,,,,,"0.025",,"0.112",,,,,,,,"0.006","0.12","3","0.096",,"32","0",,"0",,"0",,"0",,,"2.4*10E5","2.4*10E5",
"1990 Aug 30 12:00:00 AM","VIJES","6.9",,,"35","66",,,"6","40","0",,,,,,"32",,,"3.98",,"0.18",,,,,,"0.044",,"0.132",,,,,,,,"0.003","0.28","4","0.15",,"26.5","0",,"0",,"0",,"0",,,"2.4*10E5","2.4*10E4",
"1290 May 19 12:00:00 AM","MEDIACANOA","6.6",,,"400","892","876.7","15.3","3.5","60","2.8","52.9","23","29.9","9.2","7.2","27.3","33.3","130","3.52",,"0.84",,"7.3",,"3.95",,"0.12",,"0",,,,,,,"0.21","0.013","0.058","9","0.05","0.035",,,,,,,,,,,"2.4*10E6","2.4*10E6",
"1990 Sep 02 12:00:00 AM","JUANCHITO","6.8",,,,,"98.5",,"1.6","16","5.3",,,,,,"24.2",,,"5.82",,"0.14",,,,,,"0.031",,"0.07",,,,,,,,"0.013","0.09","7","0.128",,"24",,,"0",,"0",,"0",,,"2.4*10E5","2.4*10E5",
"1990 Oct 02 12:00:00 AM","VIJES","6.6",,,"34","219","95","124","7.6","32","0","70.4","30.8","39.6","12.3","9.5","44","53.6","215.4","5.71",,"0.22",,"13.4",,"3.83",,"0.062",,"0.676",,,,,,,"0.41","0.011","0.04","10",,"0.05",,,,,,"0",,,,,,,
"1990 Dec 05 12:00:00 AM","JUANCHITO","6.8",,,"210","465","334","131","1.6","64","5.2","39.1","16.1","23","6.4","5.5","21","25.6","100","1.89",,"0.36",,"8.38",,"3.3",,"0.07",,"0",,,,,,,"0.21","0.009","0.038","5","0.045","0.021",,,,"0",,"0",,"0",,,"2.4*10E6","2.4*10E6",
"1991 May 22 12:00:00 AM","ANTES SUAREZ","6.7",,,"43","107","31.3","75.7","0.9","14","4.7","28.6","22","6.6","8.8","1.58","13.2","16.1","82","3.88",,"0.15",,"8.4",,"2.01",,"<0.002",,"0.463",,,,,,"1.03",,"0.014","0.122","5.55","0.048","0",,"<0.001",,"<0.003",,"<0.005",,"<0.01",,,"2.40E+03","2.40E+02",
"1991 Jan 16 12:00:00 AM","ANTES RIO OVEJAS","6.8",,,"8","88","5.6","82.4","0.1","17.7","5.2","48.3","23","25.3","9.2","6.1","12.6","15.4","82.8","0.45",,"0.13",,"6.1",,"1.17",,"0",,"0.065",,,,,,"0.78",,"0.004","0.03","7","0.022","0.012",,"0",,"0",,"0",,"0",,,"2.40E+04","2.40E+03",
"1991 Jan 16 12:00:00 AM","ANTES RIO TIMBA","7",,,"15","104","18.8","85.2","0.8","13.5","6.2","33.6","18.4","18.4","7.4","4.4","12.6","15.4","72.6","1.63",,"0.23",,"6.12",,"1.23",,"0.013",,"0.086",,,,,,"0.78",,"0.006","0.03","5","0.05","0.025",,"0",,"0",,"0",,"0",,,"2.40E+05","2.40E+04",
"1991 Jan 16 12:00:00 AM","PASO DE LA BALSA","7.2",,,"12","110","14.5","95.5","0.2","18.7","5.2","66.7","20.7","46","8.3","11","14.7","17.9","101.2","1.64",,"0.27",,"5.26",,"1.37",,"0.018",,"0.085",,,,,,"0.98",,"0.006","0.06","6","0.1","0.025",,"0",,"0",,"0",,"0",,,"2.40E+05","2.40E+04",
"1991 Jan 16 12:00:00 AM","PASO DE LA BOLSA","6.8",,,"27","144","45","99","0.4","15.6","4.2","39.1","18.4","20.7","7.4","5","16.8","20.5","64.4","2.75",,"0.23",,"6.64",,"1.24",,"0",,"0.069",,,,,,"0.78",,"0.008","0.022","7","0.065","0.03",,"0",,"0",,"0",,"0",,,"2.40E+06","2.40E+04",
"1991 Jan 16 12:00:00 AM","PUENTE HORMIGUERO","6.8",,,"42","154","92","62","4.1","19.8","4.8","46","32.2","13.8","12.9","3.3","18.9","23.1","64.4","5.03",,"0.3",,"5.99",,"1.34",,"0",,"0.072",,,,,,"0.98",,"0.001","0.058","5","0.1","0.04",,"0",,"0",,"0",,"0",,,"2.40E+05","2.40E+04",
