"FECHA DE MUESTREO","ESTACIONES","pH","TEMPERATURA (°C)","COLOR (UPC)","TURBIEDAD (UNT)","SOLIDOS TOTALES (mg SST/l)","SOLIDOS SUSPENDIDOS TOTALES (mg SS/l)","SOLIDOS DISUELTOS (mg SD/l)","DEMANDA BIOQUIMICA DE OXIGENO (mg O2/l)","DEMANDA QUIMICA DE OXIGENO (mg O2/l)","OXIGENO DISUELTO (mg O2/l)","DUREZA TOTAL (mg CaCO3/l)","DUREZA CALCICA (mg CaCO3/l)","DUREZA MAGNESICA (mg CaCO3/l)","CALCIO (mg Ca/l)","MAGNESIO (mg Mg/l)","ALCALINIDAD TOTAL (mg CaCO3/l)","BICARBONATOS (mg CaCO3/l)","CONDUCTIVIDAD ELÉCTRICA (µS/cm)","HIERRO TOTAL (mg Fe/l)","HIERRO DISUELTO (mg Fe/l)","MANGANESO TOTAL (mg Mn/l)","MANGANESO DISUELTO (mg Mn/l)","SODIO TOTAL (mg Na/l)","SODIO DISUELTO (mg Na/l)","POTASIO TOTAL (mg K/l)","POTASIO DISUELTO (mg K/l)","COBRE TOTAL (mg Cu/l)","COBRE DISUELTO (mg Cu/l)","ZINC TOTAL (mg Zn/l)","ZINC DISUELTO (mg Zn/l)","CIANUROS (µg CN-/l)","FLUORUROS (mg F/l)","SULFUROS (mg S-2/l)","SILICE (mg Si/l)","NITROGENO TOTAL (mg N/l)","NITROGENO AMONIACAL (mg N-NH3/l)","NITRITOS (mg N-NO2/l)","NITRATOS (mg N-NO3/l)","CLORUROS (mg Cl/l)","FOSFORO TOTAL (mg P/l)","FOSFATOS (mg PO4/l)","SULFATOS (mg SO4/l)","CADMIO TOTAL (mg Cd/l)","CADMIO DISUELTO (mg Cd/l)","CROMO TOTAL (mg Cr/l)","CROMO DISUELTO (mg Cr/l)","NIQUEL TOTAL (mg Ni/l)","NIQUEL DISUELTO (mg Ni/l)","PLOMO TOTAL (mg Pb/l)","PLOMO DISUELTO (mg Pb/l)","MERCURIO (µg Hg/l)","COLIFORMES TOTALES (NMP/100 ml)","COLIFORMES FECALES (NMP/100 ml)","CAUDAL (m3/s)"
"1995 May 17 12:00:00 AM","RIOFRIO","7.2","22","75","75","331","194","137","1.8","16","1.9","85.3","47.8","37.4","19.1","9","52.9","64.5","156.6","2.04",,"0.1",,"9.4",,"1.34",,"0.04",,"0.13",,,,,,"2.4","0","0.022","1.62","5","0.4","0.05","20.34","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+07","2.40E+05",
"1995 May 17 12:00:00 AM","PUENTE GUAYABAL","7.5","22","100","60","323","171.3","151.7","13.2","20","1.5","74.9","39.5","35.4","15.8","8.5","43.7","53.3","156.6","1.86",,"0.15",,"9.5",,"1.47",,"0.02",,"0.01",,,,,,"1.9","0","0.029","0.658","6","0.35","0.03","28.31","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+05","405"
"1995 May 17 12:00:00 AM","LA VICTORIA","7.8","22","75","72","382","210","172","4","4","2.2","77","49.9","27","20","6.5","55.2","67.3","166.4","2.09",,"0.67",,"4.95",,"1.41",,"0.02",,"0.02",,,,,,"1.7","0","0.029","0.181","5","0.24","0.1","22.09","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+03","418"
"1995 May 17 12:00:00 AM","ANACARO","7.9","22","100","80","403","230","173","4.5","80","2.4","81.1","43.7","37.4","17.5","9","55.2","67.3","166.4","3.09",,"0.31",,"5.68",,"1.63",,"0.02",,"0.03",,,,,,"1.9","0","0.034","0.228","5","0.4","0.11","27.34","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+03","429"
"1995 May 17 12:00:00 AM","PUENTE LA VIRGINIA","7.8","22","75","80","379","216","163","6.9","8","3","95.7","41.6","54","16.6","13","56.4","68.7","176.2","4.38",,"3.92",,"19.6",,"5.5",,"0.04",,"0.05",,,,,,"2.4","0","0.024","1.86","4","0.39","0.14","24.72","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"1.90E+07","1.90E+07",
"1995 Aug 30 12:00:00 AM","ANTES SUAREZ","6.5","20","25","1","70","6","64","2.4","6.5","3.6","33.3","29.1","4.2","11.6","1","14.4","17.6","94.3","0.32",,"0.04",,"4.84",,"0.28",,"<0,002",,"<0,001",,,,,,"2.46","0","0.018","0.118","6","0.04","0.02","18.89","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.30E+01","2.30E+01","175"
"1995 Aug 30 12:00:00 AM","ANTES RIO OVEJAS","6.6","20","25","2","73","5.7","67.3","1.5","2.2","4.1","45.8","18.7","27.1","7.5","6.5","12","14.6","94.3","0.62",,"0.08",,"4.75",,"0.24",,"0.04",,"0.21",,,,,,"3.14","0","0.015","0.243","5","0.06","0.001","19.86","0.001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+03","2.40E+03",
"1995 Aug 30 12:00:00 AM","ANTES RIO TIMBA","6.2","20","25","6","75","13.8","61.2","1.8","3.2","6.1","33.3","16.6","16.7","6.7","4","19.2","23.4","84.8","0.83",,"0.03",,"4.72",,"0.26",,"0.01",,"0.03",,,,,,"3.58","0","0.013","0.417","5","0.11","0.053","18.69","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+03","2.40E+03",
"1995 Aug 30 12:00:00 AM","PASO DE LA BALSA","6.6","21","25","9","100","24","76","3.4","4.3","6.5","39.5","25","14.5","10","3.5","16.8","20.5","84.8","1.02",,"0.02",,"4.14",,"0.14",,"0.02",,"0.03",,,,,,"2.46","0","0.012","0.523","5","0.06","0.022","18.6","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05","180"
"1995 Aug 30 12:00:00 AM","PASO DE LA BOLSA","6.4","21","25","10","118","29.6","88.4","2.5","2.6","6.1","37.4","14.6","22.8","5.8","5.5","16.8","20.5","75.4","1.2",,"0.03",,"4.22",,"<0,002",,"<0,002",,"0.02",,,,,,"3.14","0","0.012","0.162","4","0.08","0","19.28","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+03","2.40E+03","196"
"1995 May 11 12:00:00 AM","PUENTE HORMIGUERO","6.6","22","50","50","270","177","93","0.5","14.6","4","91.5","39.5","52","15.8","12.5","23","28.1","146.9","1.97",,"<0,002",,"4.33",,"0.59",,"<0,002",,"<0,001",,,,,,"1.7","0","0.013","3.74","5","0.2","0.07","52.66","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+06","2.40E+06","330"
"1995 May 11 12:00:00 AM","ANTES INTERCEPTOR SUR","6.8","22","50","2","196","131","65","2.7","28.6","4.3","39.5","33.3","6.2","13.3","1.5","24.2","29.5","88.1","3.91",,"2.41",,"9.98",,"1.67",,"<0,002",,"<0,001",,,,,,"1.9","0","0.11","2.53","5","0.23","0.06","20.8","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+05",
"1995 May 03 12:00:00 AM","JUANCHITO","7","20","150","120","197","160","37","2.3","16","4.2","51","17.6","33.3","7","8","20.7","25.3","75.4","8.9",,"0.2",,"5.3",,"2",,"0.03",,"0.01",,,,,,"4.08","0","0.01","0.29","3","0.25","0.13","24.94","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+05","2.40E+04","426"
"1995 May 03 12:00:00 AM","PASO DEL COMERCIO","7","22","200","120","276","183.5","92.5","2.9","20","4.2","41.2","25.5","15.7","10.2","3.8","20.7","25.3","47.2","9.47",,"0.08",,"3.22",,"1.69",,"0.03",,"<0,001",,,,,,"3.43","0","0.007","0.297","4","0.44","0.04","27.37","<0,001",,"<0,003",,"<0,005",,"<0,01",,,"2.40E+04","2.40E+03",
