Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;ICA 6.1;Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
58;RIO RISARALDA, PUENTE NEGRO;69;0.78;0.76;10563;23.3;28.0;124.0;7.79;7.0;14.1;7.68;20;116;18.6;57.7;55.3;< 20;1.7;-;-;0.73;0.0138;2.7;-;4;< 7;-;-;38730;2560;2015-03-04;10:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;77;0.77;0.75;-;24.5;28.4;146.0;7.58;7.44;3.8;7.84;10;127;7.6;69.4;72.7;< 20;< 1;-;-;0.64;0.0199;0.123;-;5;< 7;-;-;14670;2920;2015-08-19;09:50:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.76;0.75;-;22.1;26.4;122.0;7.44;7.29;20.0;7.53;30;147;42.8;50.6;49.9;< 20;1.4;-;-;0.8;0.0138;0.143;-;1.5;10.1;-;-;51720;5120;2015-11-25;10:15:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;76;0.78;0.77;-;22.9;27.5;113.0;7.33;7.42;9.6;7.63;30;109;11.4;46.7;34.4;< 20;< 1;-;-;* 0.67;0.0097;0.123;-;3;9.9;-;-;24000;1850;2016-04-06;09:50:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;65;18.4;22.1;104.5;7.55;7.76;1.2;7.57;5;52;-;21.2;23;20;1;7.76;-;0.79;0.0024;-;-;1.5;7;-;-;17930;-;2016-05-12;00:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;76;0.77;0.75;-;22.5;26.2;127.6;7.75;7.5;7.9;7.69;10;106;19;56.9;53.5;< 20;1.4;-;-;* 0.75;0.012;< 0.09;-;3.5;< 7;-;-;26130;3450;2016-08-24;09:50:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;67;0.64;0.65;-;20.3;28.0;98.4;6.88;7.46;77.6;7.46;40;273;174;39.8;41.1;20.6;1.2;-;-;* 1;0.0022;0.353;-;1.5;21.9;-;-;77600;6300;2016-11-08;09:10:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;76;0.77;0.74;-;20.3;24.2;139.1;8.0;7.8;7.0;7.59;10;125;24.4;66.1;59.9;< 20;< 1;-;-;0.79;< 0.01;< 0.09;-;1.5;21.4;-;-;24600;3000;2017-02-15;10:30:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.75;0.72;-;21.0;25.7;150.2;7.67;7.68;14.4;7.73;20;149;55.3;53.3;59;< 20;1;-;-;0.77;0.0104;< 0.09;-;2;< 7;2.4;< 0.025;42800;6300;2017-07-12;10:20:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;67;0.54;0.57;-;20.5;23.8;104.7;7.36;7.58;195.0;7.49;70;378;370;42.5;220;24.2;2.2;-;-;0.83;< 0.01;< 0.09;-;2.5;< 7;-;-;435200;14600;2017-10-04;09:50:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;78;0.83;0.78;-;22.6;25.6;159.2;7.72;7.53;9.8;7.84;20;117;17.4;71.1;63.3;< 20;1.3;-;-;0.77;< 0.01;0.096;-;2;8.6;-;-;38730;970;2018-02-07;09:30:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.76;0.74;-;22.9;27.3;147.0;7.81;7.48;15.6;7.98;20;131;27.8;64.4;65.2;< 20;1.1;-;-;0.82;0.012;0.212;-;2.5;8.6;-;-;30760;3730;2018-08-22;10:05:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.7;0.7;-;20.9;23.5;122.0;7.64;7.66;48.3;7.58;30;210;142;50.1;53.9;< 20;1.5;-;-;0.83;< 0.01;0.152;-;2.8;23.8;-;-;107600;7400;2018-11-21;09:36:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.75;0.74;-;21.1;24.9;126.7;7.7;7.79;15.8;7.64;20;165;47.2;49.1;51.2;< 20;< 2;-;-;0.895;0.0123;< 0.09;-;2.2;11.7;0.95;< 0.025;46110;6270;2019-06-05;09:15:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;78;0.78;0.73;-;22.8;24.3;173.0;7.75;7.21;7.2;7.86;20;139;17.2;62.1;68.6;< 20;< 2;-;-;0.838;0.0192;0.148;-;4.3;8.5;1.2;< 0.025;24890;3930;2019-09-04;09:10:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;Faltan variables;Faltan variables;Faltan variables;-;20.3;21.8;117.2;7.59;7.39;59.7;7.73;50;-;-;45.1;49.2;< 20;< 2.6;-;-;0.929;0.0111;0.095;-;2.4;< 7;0.15;< 0.025;104620;7230;2019-11-13;10:20:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;78;0.78;0.74;-;22.7;24.5;151.0;7.65;7.23;5.7;7.81;20;136;19.3;68.3;64.1;< 20;< 2;-;-;0.465;0.0183;0.125;-;3.4;< 5;1.5;< 0.025;22820;4410;2020-03-04;09:20:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;63;0.55;0.57;-;20.4;22.6;116.5;7.37;7.43;205.0;7.06;70;381;264;40.0;50.1;38.2;< 4.49;-;-;0.63;0.0139;1.5;-;1.96;< 5;1.55;< 0.025;816400;25600;2020-09-02;09:10:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;78;0.76;0.76;-;20.4;22.6;107.5;7.73;7.81;5.77;7.43;20;119;27.8;46.0;46.3;< 20;< 2;-;-;0.342;0.0132;< 0.09;-;1.72;< 5;4.83;< 0.025;27550;4100;2020-11-04;09:30:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;77;0.78;0.75;-;21.2;24.2;138.6;7.74;7.52;7.1;7.55;10;133;10.5;56.7;57.9;< 20;< 2;-;-;0.522;0.0157;< 0.09;-;< 5;6.07;2.71;< 0.025;111990;3410;2021-07-07;08:50:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.73;0.72;-;20.3;22.7;129.1;7.75;7.75;29.0;7.69;40;276;94.3;55.8;40.6;< 20;< 2;-;-;0.477;0.0101;< 0.09;-;< 5;< 5;1.96;< 0.025;61310;6970;2021-09-08;09:15:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;60;0.47;0.51;-;21.0;23.6;88.0;7.41;7.1;290.0;7.28;2000;1190;960;38.4;45;59.9;< 6.61;-;-;0.695;*;0.258;-;< 5;8.13;1.61;-;866400;18500;2021-12-01;09:30:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;67;0.51;0.55;-;20.3;24.1;97.9;7.36;7.3;170.0;7.44;30;362;357;41.9;49.5;30.2;< 2.05;-;-;0.528;0.0112;< 0.09;-;< 5;< 5;2.67;< 0.025;198900;13400;2022-04-06;09:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;72;0.74;0.72;-;20.7;25.7;144.8;7.84;7.81;20.0;7.94;20;168;68.6;51.0;59.7;< 20;< 2;-;-;0.776;0.0232;< 0.09;-;< 5;< 5;2.67;< 0.025;48840;6700;2022-07-06;09:40:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;75;0.65;0.67;0;26.0;25.4;110.1;7.52;7.65;40.0;7.44;40;210;119;50.5;52.6;22.9;3.44;-;-;0.409;0.0076;< 0.09;-;< 5;< 5;1.56;< 0.025;81640;12740;2022-10-19;10:20:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;71;0.72;0.72;-;20.2;24.8;111.7;7.67;8.25;40.0;-;20;173;91;46.0;48.7;< 20;2.57;-;-;0.385;0.0075;< 0.09;-;< 5;< 5;2.26;< 0.025;64880;7590;2023-04-12;09:40:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;78;0.74;0.73;-;25.5;24.9;132.9;8.04;7.82;5.6;-;30;113;20.3;59.6;61.9;< 20;2.64;-;-;0.465;0.0152;0.103;-;< 5;5.03;1.15;< 0.025;29240;4550;2023-07-05;09:15:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;77;0.75;0.72;-;23.8;26.2;169.0;7.84;7.93;7.2;-;10;127;15.5;72.3;71;< 20;< 2;-;-;0.355;0.0159;< 0.09;-;< 8;< 5;-;-;38730;4800;2023-09-13;09:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;76;0.76;0.72;-;22.3;24.4;168.3;7.81;7.41;17.0;-;30;154;36;70.5;70.7;< 20;< 2;-;-;0.554;0.0189;0.103;-;< 8;10.3;1.74;0.044;77010;12230;2024-03-04;09:15:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;74;0.72;0.68;-;24.3;28.6;166.44;7.68;6.94;23.0;-;20;173;54.6;74.7;75.9;22.1;< 2;-;-;0.587;0.0171;0.09;-;< 8;< 5;0.521;0.038;261300;2000;2024-03-06;10:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;73;0.75;0.71;-;21.8;26.3;167.41;7.49;7.46;34.0;-;20;146;55;54.0;57.2;< 20;< 2;-;-;0.702;0.0133;< 0.09;-;< 8;9.02;2.4;< 0.025;57940;3150;2024-07-10;10:00:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;73;0.74;0.72;0;20.6;24.1;131.92;7.66;7.53;44.0;-;30;173;86.3;43.8;45.2;< 20;< 2;-;-;0.419;0.0101;0.133;-;< 8;< 5;0;< 0.025;198630;9330;2025-02-19;09:20:00;919.6170571
58;RIO RISARALDA, PUENTE NEGRO;75;0.76;0.64;-;21.5;24.7;26621.0;7.61;7.61;15.1;-;19;152;36.4;57.7;60.2;< 20;< 2;-;-;0.614;0.012;0.177;-;< 8;< 5;1;< 0.025;241960;10190;2025-10-15;09:15:00;919.6170571
