Rio,Año,Localidad,Corriente,Punto de Monitoreo,Muestra No,Fecha Muestreo,Hora Muestreo,Tipo de Muestreo,Fecha de Análisis,Informe No,Altitud (msnm),Coordenada Norte,Coordenada Este,Temperatura Ambiente (°C),pH Campo,Temperatura Agua (°C),Conductividad Eléctrica (µS/cm),Turbiedad (UNT),Color Real (UPC),Sólidos Totales (mg/l),Sólidos Suspendidos Totales (mg/l),Sólidos Disueltos Totales (mg/l),DBO (mg O2/l),DQO (mg O2/l),Oxígeno Disuelto (mg O2/l),Alcalinidad Total (mg CaCO3/l),Dureza Total (mg CaCO3/l),Calcio (mg Ca/l),Magnesio (mg Mg/l),Cloruros (mg Cl/l),Nitrógeno Total (mg N/l),Nitrógeno Amoniacal (mg N-NH3/l),Nitratos (mg N-NO3/l),Nitritos (mg N-NO2/l),Fosfatos (mg P-PO4/l),Fósforo Total (mg P/l),Hierro Total (mg Fe/l),Manganeso Total (mg Mn/l),Sodio (mg Na/l),Potasio (mg K/l),Cobre Total (mg Cu/l),Zinc Total (mg Zn/l),Cadmio Total (mg Cd/l),Cromo Total (mg Cr/l),Plomo Total (mg Pb/l),Aluminio Total (mg Al/l),Sulfatos (mg SO4/l),Coliformes Totales (NMP/100ml),Coliformes Fecales (NMP/100ml),Caudal (l/s)
Rio Risaralda,2011,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2011-08-03,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,20.3,7.09,18,41,52,S/D,145,84.6,S/D,2.3,28.4,8.2,14.1,11,S/D,S/D,1.5,S/D,S/D,1.2,0.01,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,11.4,130000,S/D,4480
Rio Risaralda,2012,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2012-07-04,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,21.9,8.05,16.7,166,2.7,S/D,150,5.7,S/D,1,21.3,8.04,38,59.5,S/D,S/D,1.5,S/D,S/D,0.34,0.0091,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,32.2,24000,S/D,9291
Rio Risaralda,2012,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2012-10-03,00:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,22.6,8.12,19,144,2.7,S/D,163,6.2,S/D,1,21.3,7.88,40.6,69,S/D,S/D,1.5,S/D,S/D,0.42,0.0145,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,46.1,79000,S/D,5091
Rio Risaralda,2013,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2013-04-09,14:30,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,31.5,8.28,26.4,144,3.8,S/D,120,4.7,S/D,< 1,< 21.3,S/D,59.7,59,S/D,S/D,2,S/D,S/D,0.9,0.0161,0.231,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,5.2,33000,S/D,1655
Rio Risaralda,2013,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2013-08-27,14:41,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,29,8.29,23.3,144,4.3,S/D,125,8.4,S/D,< 1,< 21.3,S/D,59.5,63,S/D,S/D,3,S/D,S/D,1,0.0108,0.239,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,6.5,70000,S/D,1909
Rio Risaralda,2013,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2013-11-19,15:31,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,26.1,8.14,21.9,136,7.2,S/D,126,20.3,S/D,< 1,< 20,S/D,57,55,S/D,S/D,5,S/D,S/D,1.3,0.0621,0.167,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.6,120330,S/D,2940
Rio Risaralda,2014,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2014-03-04,15:15,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,25.2,7.75,23.1,137,12.3,S/D,130,24.4,S/D,< 1,< 20,S/D,53,51.9,S/D,S/D,5,S/D,S/D,1.7,0.0372,0.164,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,7.7,88400,S/D,3274
Rio Risaralda,2014,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2014-07-15,14:15,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,25.5,8.16,23.6,146,4.4,S/D,260,7.6,S/D,< 1,< 20,S/D,64.9,60,S/D,S/D,1.5,S/D,S/D,1.1,0.0189,0.203,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.3,36090,S/D,1732
Rio Risaralda,2014,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2014-09-09,14:59,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,29.5,8.34,23.5,152,6.3,S/D,122,6.8,S/D,1.1,< 20,S/D,66,62,S/D,S/D,4,S/D,S/D,1.1,0.025,0.196,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9,38730,S/D,1177
Rio Risaralda,2015,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2015-03-03,13:30,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,31,8.32,25.5,137,6.9,S/D,114,15.1,S/D,< 1,< 20,S/D,61.1,60.4,S/D,S/D,1.5,S/D,S/D,0.64,0.0251,0.274,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8.4,92080,S/D,1167
Rio Risaralda,2015,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2015-08-18,13:30,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,33,8.04,24.2,167,1,S/D,134,4.6,S/D,< 1,< 20,S/D,74,77,S/D,S/D,5,S/D,S/D,1.3,< 0.009,0.441,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,15290,S/D,692
Rio Risaralda,2015,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2015-11-24,13:50,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,31.1,7.84,24.5,154,6.8,S/D,123,16.5,S/D,1.5,< 20,S/D,60,62.1,S/D,S/D,2.5,S/D,S/D,1.2,0.0322,0.201,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,9.7,46110,S/D,1264
Rio Risaralda,2016,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2016-04-05,14:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,31.6,7.65,23.7,185.2,5.7,S/D,168,18.6,S/D,1.6,< 20,S/D,75.5,70.7,S/D,S/D,7.5,S/D,S/D,* 1.4,0.012,0.5,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,13.3,77010,S/D,649
Rio Risaralda,2016,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2016-08-23,14:00,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,34.1,8.13,25.6,181,5.3,S/D,140,13.2,S/D,1.3,< 20,S/D,67,68.3,S/D,S/D,6.5,S/D,S/D,* 1.5,S/D,0.525,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,24810,S/D,622
Rio Risaralda,2016,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2016-11-08,14:45,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,26.9,7.58,22.8,148,6.05,S/D,140,33.7,S/D,2.3,< 20,S/D,60.5,58.6,S/D,S/D,5.5,S/D,S/D,* 1.3,0.058,0.105,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,22.8,198630,S/D,3102
Rio Risaralda,2017,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2017-02-14,14:45,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,28.8,7.27,21.8,142.2,4,S/D,123,12.2,S/D,1.1,< 20,S/D,67.1,63.8,S/D,S/D,2.5,S/D,S/D,1.2,0.0165,0.218,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,14.4,43520,S/D,1790
Rio Risaralda,2017,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2017-07-11,14:20,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,25.4,8.07,22,165.2,6.2,S/D,135,17.4,S/D,1.3,< 20,S/D,60,59.4,S/D,S/D,4,S/D,S/D,1.3,< 0.01,0.179,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,< 7,11990,S/D,2364
Rio Risaralda,2017,BELÉN DE UMBRÍA,Rio Risaralda,Quebrada Chapata - Desembocadura,S/D,2017-10-03,13:50,Monitoreo periódico,S/D,S/D,967.57,2123316.9124,4684670.3437,29,7.94,22.7,148.2,6.7,S/D,116,12.8,S/D,1.4,< 20,S/D,40.7,122,S/D,S/D,2.5,S/D,S/D,1.2,0.0255,0.217,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,S/D,8,23820,S/D,2140
