Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;68;0.77;0.8;-;17.8;24.7;58.0;7.6;8.27;3.4;7.78;20;542;10.2;26.1;28.4;< 20;1.4;-;-;0.27;< 0.002;< 0.09;-;< 1.5;7.4;5.6;< 0.025;547500;72400;2015-11-24;10:30:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.77;0.8;5708;18.4;23.7;58.1;6.94;8.11;3;7.66;10;51.4;4.4;26.4;25;< 20;< 1;-;-;* 0.36;0.0032;< 0.09;-;15.5;7.8;78.9;< 0.025;145500;45500;2016-04-05;10:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.78;0.79;4999;17.5;23.2;75.0;7.87;8.2;2.6;7.61;10;62.9;3.5;33.6;31.4;< 20;1.7;-;-;* 0.21;0.0032;< 0.09;-;< 1.5;< 7;-;-;133300;52100;2016-08-23;10:15:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;72;0.77;0.79;-;17.2;28.2;48.1;6.87;7.81;5.6;7.56;20;69.8;20.6;24.4;21.6;< 20;1;-;-;* 0.44;0.0093;< 0.09;-;< 1.5;8.3;-;-;66300;20300;2016-11-08;10:50:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;78;0.77;0.79;-;16.4;19.8;69.6;6.84;8.26;1.9;7.6;10;63.8;4.2;37.5;31.4;< 20;1.3;-;-;0.29;< 0.01;< 0.09;-;< 1.5;7.9;-;-;104300;3090;2017-02-14;10:50:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.79;7656;18.2;23.4;88.0;7.88;8.13;3.6;7.74;10;123;5.4;44.6;31.8;< 20;1.3;-;-;0.23;< 0.01;0.213;-;< 1.5;< 7;2.5;< 0.025;85500;23300;2017-07-11;10:30:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;68;0.6;0.65;-;16.0;22.9;50.9;7.2;8.55;110;7.59;70;278;246.0;13.5;61;34.6;2.4;-;-;0.87;< 0.01;0.203;-;< 1.5;15.2;-;-;63300;1200;2017-10-03;10:10:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;77;0.77;0.78;5762;18.2;21.3;95.9;7.87;8.28;3.3;8.07;10;65.1;4.4;40.1;29.3;< 20;< 1;-;-;0.23;< 0.01;0.109;-;< 1.5;7.3;-;-;193500;67700;2018-02-06;09:30:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.79;5459;18.2;22.8;77.7;7.95;8.2;2.5;7.84;20;66.5;3.8;34.6;35.2;< 20;1.3;-;-;0.37;< 0.01;< 0.09;-;< 1.5;< 7;-;-;145000;62400;2018-08-21;10:20:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.75;0.78;-;17.9;23.4;67.7;7.77;8.29;11.6;7.66;20;95.9;44.8;25.4;27.3;< 20;1.7;-;-;0.49;< 0.01;0.224;-;< 1.5;12.2;-;-;48100;15300;2018-11-20;09:45:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.77;0.8;11458;17.1;21.7;58.8;7.71;8.49;4.2;7.64;20;80.4;8.5;24.8;24.5;< 20;< 2;-;-;0.352;< 0.0091;< 0.09;-;< 1.5;8.3;1.7;0.058;57940;19180;2019-06-04;10:01:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.78;2779;17.3;20.5;93.1;8.0;8.1;1.9;7.95;10;86;7.6;42.1;38.9;< 20;2.6;-;-;0.357;< 0.0091;0.106;-;< 1.5;7.2;0.76;0.085;261300;101700;2019-09-03;09:45:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.8;-;17.3;20.7;59.7;7.73;8.16;9.6;7.71;40;0;0.0;25.4;25.8;< 20;< 2;-;-;0.541;< 0.0091;0.116;-;< 1.5;< 7;-;< 0.025;49600;14500;2019-11-12;10:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;73;0.78;0.79;4243;18.9;23.8;89.2;7.85;7.96;1.6;7.59;10;77;4.0;42.4;36.2;< 20;2.4;-;-;< 0.2;0.0092;0.111;-;< 1.5;< 5;0.45;0.076;155300;60500;2020-03-03;10:20:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;75;0.78;0.8;-;16.8;20.8;61.5;7.55;8.34;6.04;7.57;20;92;11.0;26.9;24.4;< 20;< 2;-;-;< 0.2;< 0.0091;< 0.09;-;< 1.5;7.3;0.45;< 0.025;81600;19700;2020-09-01;10:00:00;1482.760188
195;RIO RISARALDA, DESPUES DESCARGA MUNICIPIO MISTRATO;74;0.78;0.8;-;17.2;22.4;59.1;7.21;8.24;3.34;7.8;20;52;6.14;26.8;27.6;< 20;< 2;-;-;< 0.2;< 0.0091;< 0.09;-;0;< 5;3.68;< 0.025;105000;29200;2020-11-03;10:15:00;1482.760188
