Punto_COD;Punto_Nombre;IFSN;ICA 5;ICA 6;Caudal (L/s) (L/s);Temperatura Agua (°C) (°C);Temperatura Ambiente (°C) (°C);Conductividad (uS/cm) (uS/cm);pH (Uds. pH) (Uds. pH);Oxigeno Disuelto (mgO 2 /L) (mgO2/L);Turbiedad (NTU);pH medido en el laboratorio (pH);Color Verdadero (Pt/Co);Sólidos Totales (mg/L);Sólidos Suspendidos Totales (mg/L);Alcalinidad Total (mg CaCO3/L);Dureza Total (mg CaCO3/L);Demanda Química de Oxígeno (total o soluble) (mg O2/L);Demanda Bioquímica de Oxígeno (total o soluble) (mg O2/L);Oxígeno Disuelto (mg O2/L);Nitrógeno Total (mgN/L);Nitratos (mgN-NO3/L);Nitritos (mgN-NO2/L);Fosfatos (mgP-PO4-3/L);Fósforo Total (mgP-PO4-3/L);Cloruros (mg Cl-/L);Sulfatos (mg SO4-2/L);Grasas y/o Aceites (mg/L);Detergentes (SAAM) (mg SAAM/L);Coliformes Totales (E + 1) (NMP/100mL);E. Coli (E + 1) (NMP/100mL);Fecha;Hora;Altura - Punto Monitoreo
47;QUEBRADA CHAPATA, DESEMBOCADURA;77;0.76;0.74;1732;23.6;25.5;146.0;8.16;7.36;4.4;7.97;10;260;7.6;64.9;60;< 20;< 1;-;;1.1;0.0189;0.203;;1.5;8.3;2.9;0.778;36090;1990;2014-07-15;14:15:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.8;0.76;1177;23.5;29.5;152.0;8.34;7.26;6.3;8;10;122;6.8;66;62;< 20;1.1;-;;1.1;0.025;0.196;;4;9;0.9;-;38730;1090;2014-09-09;14:59:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;76;0.89;0.86;1167;25.5;31;137.0;8.32;7.52;6.9;8.22;20;114;15.1;61.1;60.4;< 20;< 1;-;;0.64;0.0251;0.274;;1.5;8.4;1.5;< 0.025;92080;117.4;2015-03-03;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;77;0.95;0.88;692;24.2;33;167.0;8.04;7.4;1.0;8;10;134;4.6;74;77;< 20;< 1;-;;1.3;< 0.009;0.441;;5;< 7;2.4;< 0.025;15290;52;2015-08-18;13:30:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.87;0.82;1264;24.5;31.1;154.0;7.84;7.12;6.8;7.94;20;123;16.5;60;62.1;< 20;1.5;-;;1.2;0.0322;0.201;;2.5;9.7;0.86;< 0.025;46110;630;2015-11-24;13:50:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;75;0.95;0.86;649;23.7;31.6;185.2;7.65;7.07;5.7;7.88;10;168;18.6;75.5;70.7;< 20;1.6;-;;* 1.4;0.012;0.5;;7.5;13.3;6.1;< 0.025;77010;97;2016-04-05;14:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.93;0.85;622;25.6;34.1;181.0;8.13;7.15;5.3;7.96;10;140;13.2;67;68.3;< 20;1.3;-;;* 1.5;-;0.525;;6.5;< 7;3.9;0.8;24810;97;2016-08-23;14:00:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;73;0.76;0.73;3102;22.8;26.9;148.0;7.58;7.52;6.05;7.69;10;140;33.7;60.5;58.6;< 20;2.3;-;;* 1.3;0.058;0.105;;5.5;22.8;-;-;198630;48840;2016-11-08;14:45:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.81;0.78;1790;21.8;28.8;142.2;7.27;7.69;4.0;7.87;10;123;12.2;67.1;63.8;< 20;1.1;-;;1.2;0.0165;0.218;;2.5;14.4;0.54;*;43520;1350;2017-02-14;14:45:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.75;0.72;2364;22.0;25.4;165.2;8.07;8.11;6.2;7.97;10;135;17.4;60;59.4;< 20;1.3;-;;1.3;< 0.01;0.179;;4;< 7;-;-;11990;16740;2017-07-11;14:20:00;967.5718641
47;QUEBRADA CHAPATA, DESEMBOCADURA;74;0.8;0.77;2140;22.7;29;148.2;7.94;7.67;6.7;7.96;20;116;12.8;40.7;122;< 20;1.4;-;;1.2;0.0255;0.217;;2.5;8;4.9;< 0.025;23820;1310;2017-10-03;13:50:00;967.5718641
